Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,33,76.65,-0.19,76.99,75.54,80.16,76.35,76.62,2024-08-12,-2.374429223744302,0.0,-1.0,-1.0,1.0,1.0,2.4321796071094637,-4.044357469015014,4.214819850441898,-11.715590345727337,13.270282252105803,-10.437051532941943,11.653313911143481,-1.4220482713633442,1.4425622022234075,,,,,0.0
2024,32,76.84,3.32,74.21,71.67,77.09,76.9,77.2,2024-08-05,-0.2472670484122823,0.0,1.0,1.0,1.0,-1.0,0.24787997390736116,-2.615825091098393,2.6860884671923158,-4.281624154086421,4.4731475186947645,-11.933888599687664,13.551056598197132,-3.2014575741801248,3.3073406829793095,,,,,2.0
2024,31,73.52,-3.64,77.3,72.97,78.88,74.03,74.25,2024-07-29,4.515778019586517,0.0,-1.0,1.0,1.0,1.0,-4.320666319625199,4.257344940152353,-4.083496412263543,1.7818280739934744,-1.7506347721502058,0.040805223068554324,-0.04078857919782575,-7.26332970620238,7.832208858902878,-1.2921653971708418,1.3090808874190563,,,2.0
2024,30,77.16,-2.97,80.39,76.04,80.69,76.43,76.45,2024-07-22,-4.7174701918092286,0.0,-1.0,1.0,-1.0,1.0,4.951033732317733,-0.41472265422497817,0.41644976574699566,-0.6609642301710614,0.6653620352250478,-3.019699326075685,3.113724442068677,-6.791083462934157,7.285873192436032,-10.290305857957488,11.470673215833571,,,0.0
2024,29,80.13,-2.08,82.16,80.07,83.82,79.92,80.39,2024-07-15,-3.706476974915761,0.0,-1.0,-1.0,-1.0,1.0,3.8491446345256586,-8.249095220267066,8.990750816104454,-4.10582802945213,4.281624154086394,-4.342942718083102,4.5401174168297365,-14.326719081492561,16.72250546249088,-5.703232247597645,6.048173636844889,,,-2.0
2024,28,82.21,-0.95,83.15,80.81,83.74,82.19,82.2,2024-07-08,-2.5301058265417815,0.0,-1.0,-1.0,-1.0,1.0,2.5957818544864564,-6.142805011555769,6.544841886988073,-10.570490208003891,11.819912948857446,-6.532052061792958,6.988547631441944,-17.68641284515265,21.486626274567744,-9.524388760491423,10.527023393385315,,,-2.0
2024,27,83.16,1.62,81.45,81.38,84.52,83.44,83.46,2024-07-01,-1.1423761423761458,0.0,-1.0,1.0,-1.0,-1.0,1.155577180391676,-3.6435786435786452,3.7813552976413423,-7.2150072150072155,7.776049766718507,-11.592111592111594,13.1120783460283,-11.556036556036556,13.065941536369818,-18.013468013468,21.97125256673509,,,-2.0
2024,26,81.54,0.81,80.45,80.18,82.72,81.45,81.48,2024-06-24,1.9867549668874052,0.0,-1.0,-1.0,-1.0,1.0,-1.948051948051932,0.8216826097620646,-0.8149860114341156,-1.7292126563649874,1.7596405840509366,-5.371596762325251,5.676516329704517,-8.229090017169497,8.966991848189231,-11.79789060583763,13.37597330367075,,,-2.0
2024,25,80.73,2.28,78.48,77.98,82.41,80.56,80.61,2024-06-17,1.003344481605354,0.0,-1.0,1.0,-1.0,-1.0,-0.9933774834437137,3.0100334448160444,-2.9220779220779147,1.833271398488777,-1.800267607347028,-0.7432181345224929,0.7487832272557116,-5.053883314752878,5.322896281800382,-14.963458441719308,17.596504005826663,,,-2.0
2024,24,78.45,2.92,75.35,75.23,79.32,78.46,78.51,2024-06-10,2.9063097514340357,0.0,-1.0,-1.0,-1.0,-1.0,-2.8242289111854335,3.9388145315487613,-3.7895511405445226,6.003824091778195,-5.66378066378066,4.7928616953473435,-4.573652840287057,-2.0522625876354357,2.095262883914617,-13.741236456341621,15.930249741392055,,,-4.0
2024,23,75.53,-1.46,76.97,72.48,77.52,75.35,75.38,2024-06-03,3.8660135045677237,0.0,-1.0,1.0,-1.0,-1.0,-3.7221159974506035,6.884681583476768,-6.441223832528187,7.957103137826035,-7.370615648761348,10.101946246524554,-9.17508417508417,-2.6611942274592946,2.7339499455930394,-2.6214749106315423,2.6920462270564327,,,-2.0
2024,22,76.99,-0.73,77.81,76.67,80.62,77.07,77.4,2024-05-27,-1.8963501753474399,0.0,-1.0,-1.0,-1.0,-1.0,1.93300675228385,1.8963501753474583,-1.8610579987253129,4.857773736848953,-4.632726371856821,5.909858423171856,-5.580083394652946,0.22080789712949958,-0.22032141005702277,-2.8055591635277266,2.886542830415606,,,-4.0
