Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2021,33,62.32,-6.12,67.71,62.11,68.27,62.5,65.55,2021-08-16,10.301668806161738,1.0,1.0,1.0,-1.0,1.0,-9.339540296770432,11.1842105263158,-10.059171597633142,11.874197689345312,-10.613884107860006,15.484595635430038,-13.40836459635959,32.02824133504493,-24.2586290714633,29.637355584082165,-22.86174031439535,48.12259306803595,-32.48835445780522,3.0
2020,9,44.76,-8.62,52.6,43.85,52.64,45.21,45.39,2020-03-02,-7.774798927613934,1.0,-1.0,1.0,1.0,1.0,8.430232558139528,-29.110813226094724,41.0652379451623,-49.88829311885612,99.5541685242978,-51.94369973190348,108.08926080892608,-62.15370866845398,164.22668240850058,-25.71492403932082,34.616541353383454,-6.143878462913316,6.5460604617948,3.0
2020,7,52.05,1.73,50.12,49.42,52.34,52.09,52.3,2020-02-17,2.55523535062441,1.0,-1.0,1.0,1.0,1.0,-2.4915698763582017,-14.005763688760805,16.286863270777484,-20.691642651296824,26.090116279069765,-39.03938520653218,64.0403403718878,-56.272814601344855,128.69068541300527,-52.46878001921229,110.38803556992724,-22.63208453410181,29.25254531909609,3.0
2020,2,59.04,-4.01,63.71,58.66,65.65,59.04,59.28,2020-01-13,-0.8468834688346885,1.0,-1.0,1.0,1.0,1.0,0.8541168431841495,-8.21476964769648,8.949990773205396,-12.669376693766932,14.507370054305646,-14.769647696476962,17.32909379968204,-30.081300813008127,43.02325581395348,-51.99864498644986,108.32745236414962,-34.80691056910569,53.390491036632895,3.0
