Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,38,71.92,3.27,69.16,68.65,72.49,71.38,72.44,2024-09-16,-5.200222469410449,0.0,1.0,-1.0,1.0,1.0,5.485479612789668,3.420467185761949,-3.3073406829792877,5.061179087875418,-4.817363684489151,-3.754171301446055,3.900606761051728,,,,,,,2.0
2024,32,76.84,3.32,74.21,71.67,77.09,76.9,77.2,2024-08-05,-0.2472670484122823,0.0,1.0,1.0,1.0,-1.0,0.2478799739073611,-2.615825091098393,2.686088467192316,-4.281624154086421,4.4731475186947645,-11.933888599687664,13.551056598197132,-3.2014575741801248,3.307340682979309,,,,,2.0
2024,31,73.52,-3.64,77.3,72.97,78.88,74.03,74.25,2024-07-29,4.515778019586517,0.0,-1.0,1.0,1.0,1.0,-4.320666319625199,4.257344940152353,-4.083496412263543,1.7818280739934744,-1.7506347721502058,0.0408052230685543,-0.0407885791978257,-7.26332970620238,7.832208858902878,-1.2921653971708418,1.3090808874190565,,,2.0
2024,18,78.11,-5.74,83.69,77.96,83.91,77.95,78.01,2024-04-29,0.1920368710792545,0.0,1.0,1.0,-1.0,1.0,-0.1916687963199659,2.496479324030217,-2.435673245066205,-0.4992958648060435,0.5018013381369091,-1.433875304058385,1.4547343810884517,4.391243118678795,-4.206524405199907,-1.216233516835236,1.2312078797304338,-11.381385225963388,12.843108928055468,2.0
2024,11,81.04,3.03,77.8,76.79,81.62,80.98,81.04,2024-03-11,-0.5059230009871801,0.0,-1.0,1.0,1.0,1.0,0.508495597172276,2.628331688055276,-2.561019598412884,7.243336623889425,-6.754113450696108,5.700888450148063,-5.393415830025672,-3.4304047384007905,3.552261691796588,-6.799111549851931,7.295114524030199,-9.242349457058252,10.183548606390216,2.0
2024,3,73.41,0.73,72.63,70.5,74.91,73.41,75.2,2024-01-15,6.266176270262919,0.0,-1.0,1.0,1.0,1.0,-5.896679912831704,-1.5392998229124035,1.5633646928610911,4.672387958043873,-4.463820926600737,7.873586704808611,-7.298901376436417,10.393679335240444,-9.415103652517288,16.687099850156656,-14.300723791734772,13.281569268492031,-11.724386724386726,2.0
2023,45,77.17,-3.34,81.13,74.91,82.24,77.33,77.4,2023-11-06,-1.6586756511597789,0.0,1.0,1.0,1.0,-1.0,1.686651732771116,-2.1122197745237727,2.1577971935398343,-4.017105092652596,4.185230187660327,-7.697291693663337,8.339182928541344,-4.354023584294414,4.552228695298743,-6.336659323571336,6.765356945213052,8.656213554490078,-7.966607036374473,2.0
2023,44,80.51,-5.03,85.0,80.1,85.3,80.81,80.9,2023-10-30,-4.148552974785745,0.0,1.0,1.0,1.0,-1.0,4.328106777245044,-5.738417587877287,6.087758597970749,-6.173146193019499,6.579295737357693,-7.999006334616832,8.694478196300803,-11.004844118743012,12.365666434054434,-3.105204322444417,3.2047173439302634,3.266674947211521,-3.163338946355543,2.0
2023,43,85.54,-3.21,88.0,82.08,88.29,84.95,85.23,2023-10-23,-5.880289922843115,0.0,1.0,-1.0,1.0,1.0,6.247671096758167,-9.784895955108723,10.846183750161975,-11.281271919569798,12.715772829094751,-11.690437222352116,13.238019592269,-14.005143792377838,16.28602501359435,-14.180500350713126,16.523634382236764,0.1402852466682141,-0.1400887228578007,2.0
2023,41,87.69,4.9,85.25,82.31,87.83,87.4,87.75,2023-10-09,1.2088037404493128,0.0,-1.0,1.0,1.0,1.0,-1.1943661971831054,-2.4518189075151,2.513444002805687,-8.187934770213243,8.918146814060357,-11.99680693351579,13.632240507969406,-18.77066940358079,23.108240909729027,-15.82848671456266,18.805039967484085,-5.154521610217809,5.434651917758804,2.0
