Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2024,29,80.13,-2.08,82.16,80.07,83.82,79.92,80.39,2024-07-15,-3.706476974915761,0.0,-1.0,-1.0,-1.0,1.0,3.8491446345256586,-8.249095220267066,8.990750816104454,-4.10582802945213,4.281624154086394,-4.342942718083102,4.5401174168297365,-14.32671908149256,16.72250546249088,-5.703232247597645,6.048173636844889,,,-2.0
2024,28,82.21,-0.95,83.15,80.81,83.74,82.19,82.2,2024-07-08,-2.530105826541781,0.0,-1.0,-1.0,-1.0,1.0,2.5957818544864564,-6.142805011555769,6.544841886988073,-10.570490208003893,11.819912948857446,-6.532052061792958,6.988547631441944,-17.68641284515265,21.486626274567744,-9.524388760491425,10.527023393385315,,,-2.0
2024,27,83.16,1.62,81.45,81.38,84.52,83.44,83.46,2024-07-01,-1.1423761423761458,0.0,-1.0,1.0,-1.0,-1.0,1.155577180391676,-3.643578643578645,3.7813552976413423,-7.215007215007215,7.776049766718507,-11.592111592111594,13.1120783460283,-11.556036556036556,13.065941536369818,-18.013468013468,21.97125256673509,,,-2.0
2024,26,81.54,0.81,80.45,80.18,82.72,81.45,81.48,2024-06-24,1.9867549668874047,0.0,-1.0,-1.0,-1.0,1.0,-1.948051948051932,0.8216826097620646,-0.8149860114341156,-1.7292126563649874,1.7596405840509366,-5.371596762325251,5.676516329704517,-8.229090017169497,8.966991848189231,-11.79789060583763,13.37597330367075,,,-2.0
2024,25,80.73,2.28,78.48,77.98,82.41,80.56,80.61,2024-06-17,1.003344481605354,0.0,-1.0,1.0,-1.0,-1.0,-0.9933774834437136,3.0100334448160444,-2.9220779220779147,1.833271398488777,-1.800267607347028,-0.7432181345224929,0.7487832272557116,-5.053883314752878,5.322896281800382,-14.963458441719308,17.596504005826663,,,-2.0
2024,23,75.53,-1.46,76.97,72.48,77.52,75.35,75.38,2024-06-03,3.866013504567724,0.0,-1.0,1.0,-1.0,-1.0,-3.722115997450604,6.884681583476768,-6.441223832528187,7.957103137826035,-7.370615648761348,10.101946246524554,-9.17508417508417,-2.6611942274592946,2.7339499455930394,-2.6214749106315423,2.6920462270564327,,,-2.0
2024,21,77.72,-2.34,80.01,76.15,80.6,77.77,77.83,2024-05-20,-0.9392691713844622,0.0,-1.0,-1.0,-1.0,1.0,0.9481750876737304,-2.817807514153368,2.8995101284257974,0.9392691713844622,-0.9305289993626564,3.872876994338658,-3.728477641521122,3.10087493566649,-3.0076126294770966,-1.3767370046320035,1.395955642530966,,,-2.0
2024,14,86.91,3.74,83.14,82.6,87.63,86.72,86.78,2024-04-01,-1.4382694741686803,0.0,-1.0,1.0,-1.0,-1.0,1.4592575297688537,-4.337820734092735,4.534520086600913,-3.520883672764932,3.649373881932028,-10.125417098147508,11.26616310331583,-11.41410654700265,12.884790232497734,-6.17880566102864,6.58572479764532,-17.24772753423081,20.84260289210233,-2.0
2024,13,83.17,2.54,80.85,80.55,83.21,83.1,83.16,2024-03-25,4.496813754959715,0.0,-1.0,1.0,-1.0,-1.0,-4.303302266712683,2.9938679812432305,-2.9068409992995536,-0.0360706985691969,0.0360837142169945,0.8176025009017586,-0.8109719737626642,-6.552843573403874,7.012352032938751,-2.9337501502945744,3.022420413724758,-17.458218107490676,21.15076474872541,-2.0
2024,12,80.63,-0.41,81.03,80.3,83.85,80.78,80.81,2024-03-18,3.1501922361404024,0.0,-1.0,-1.0,1.0,-1.0,-3.053985812191906,7.788664268882552,-7.225865838223456,6.23837281408905,-5.872052299789865,3.1129852412253567,-3.01900408948762,-0.706932903385828,0.7119660254808702,-2.703708297159857,2.778840025493934,-16.073421803299013,19.151765922860942,-2.0
