Year,Week_Number,Close,Net,Open,Low,High,Bid,Ask,Exchange Date,1_Week_Long_Return,Price Score,Bullish_Bearish_Score,Delta_Score,Absolute Storage Score,Delta Inventory Score,1_Week_Short_Return,2_Week_Long_Return,2_Week_Short_Return,3_Week_Long_Return,3_Week_Short_Return,4_Week_Long_Return,4_Week_Short_Return,8_Week_Long_Return,8_Week_Short_Return,12_Week_Long_Return,12_Week_Short_Return,24_Week_Long_Return,24_Week_Short_Return,Total_Score
2021,52,61.865,0.855,60.80499999999999,60.035,63.2,61.885000000000005,61.95,2021-12-27,27.53576335569387,1.0,-1.0,-1.0,-1.0,-1.0,-21.590621039290248,35.48856380829225,-26.193032689095684,37.622241978501584,-27.33732675593141,40.33783237694981,-28.743377102050214,48.04816940111535,-32.45441642100667,84.11056332336541,-45.68481123792802,77.09528812737415,-43.53322380430815,-3.0
2021,15,63.13,3.81,59.35,58.73,63.88,62.98,63.09,2021-04-12,-1.5681926184064658,1.0,-1.0,-1.0,-1.0,-1.0,1.5931766977792083,0.7128148265483855,-0.7077697389116011,2.803738317757014,-2.7272727272727337,3.548233803263111,-3.426648309622149,12.323776334547748,-10.971654209561413,18.10549659432916,-15.329935622317592,20.196420085537767,-16.80284659989456,-3.0
2021,11,61.42,-4.19,65.56,58.2,66.4,58.55,63.95,2021-03-15,-0.7326603712145927,1.0,-1.0,-1.0,-1.0,-1.0,0.7380679022470193,0.048844024747641,-0.048820179007325,-3.4190817323347464,3.540121375590033,2.784109410615436,-2.708696340883887,6.431129925105833,-6.042527153128352,15.450993161836529,-13.38316175433648,12.813415825464023,-11.358060326165395,-3.0
2021,2,52.36,0.12,52.58,51.5,53.93,52.04,52.09,2021-01-11,-0.1718869365928119,1.0,-1.0,-1.0,-1.0,-1.0,0.1721828964989402,-0.3055767761650049,0.3065134099616839,8.575248281130637,-7.897977132805634,13.579067990832696,-11.95560786951404,25.30557677616501,-20.19509221155311,13.292589763178,-11.732973701955496,43.54469060351413,-30.335284725918044,-3.0
2020,48,45.53,3.38,42.46,42.29,46.26,45.47,45.57,2020-11-30,1.6033384581594483,1.0,-1.0,-1.0,-1.0,-1.0,-1.578037181150016,2.2842082143641536,-2.2331973373416303,7.840983966615418,-7.270875763747453,5.930155941137702,-5.598175409496154,14.649681528662423,-12.777777777777777,35.075774214803424,-25.967479674796746,39.64419064353173,-28.38943063856558,-3.0
2020,16,18.27,-4.49,24.6,17.31,24.74,17.61,18.25,2020-04-20,-7.279693486590029,1.0,-1.0,-1.0,-1.0,-1.0,7.851239669421472,8.264915161466895,-7.63397371081902,35.41324575807334,-26.151980598221503,61.08374384236453,-37.92048929663608,98.46743295019157,-49.61389961389961,121.94854953475642,-54.94451294697904,102.79146141215104,-50.68825910931174,-3.0
2020,15,22.76,-5.58,26.09,22.57,28.36,23.11,23.45,2020-04-13,-19.72759226713533,1.0,-1.0,-1.0,-1.0,-1.0,24.575807334428035,-25.57117750439367,34.35655253837071,-13.093145869947277,15.065722952477255,8.6994727592267,-8.003233629749385,73.76977152899822,-42.45259165613147,78.60281195079084,-44.00984009840098,76.84534270650263,-43.453416149068325,-3.0
2020,13,21.51,-0.92,22.52,20.8,25.24,21.7,21.92,2020-03-30,31.75267317526731,1.0,-1.0,-1.0,-1.0,-1.0,-24.100211714890605,5.811250581125058,-5.492091388400699,-15.06276150627616,17.733990147783253,-21.24593212459321,26.977567886658797,54.57926545792653,-35.30827067669172,84.79776847977683,-45.886792452830186,73.54718735471872,-42.37878381998392,-3.0
2020,12,22.43,-9.3,33.75,19.46,33.75,20.3,27.03,2020-03-23,-4.1016495764600895,1.0,-1.0,-1.0,-1.0,-1.0,4.277080427708024,26.348640213999108,-20.853916725476363,1.4712438698172174,-1.449912126537789,-18.54658938921088,22.76956759715381,31.20820329915292,-23.78525314305131,61.65849308961212,-38.14120242691671,77.30717788675882,-43.600704048277606,-3.0
2019,49,59.2,4.03,55.47,55.35,59.85,59.04,59.25,2019-12-09,1.46959459459459,1.0,-1.0,-1.0,-1.0,-1.0,-1.448310304644573,2.094594594594586,-2.0516214427531376,4.25675675675675,-4.082955281918332,6.503378378378369,-6.106264869151456,-12.905405405405409,14.817688130333597,-24.3918918918919,32.26094727435211,-43.83445945945946,78.0451127819549,-3.0
